powertrain,vehicle_type,inventory_type,n
bev,car,new,353771
bev,cuv,new,1251117
bev,pickup,new,116308
bev,suv,new,41337
cv,car,new,15547728
cv,cuv,new,30376331
cv,minivan,new,1049050
cv,pickup,new,13141856
cv,suv,new,8063573
fcev,cuv,new,319
flex,car,new,70128
flex,cuv,new,538634
flex,pickup,new,1100139
hev,car,new,1001847
hev,cuv,new,1229981
hev,minivan,new,462302
hev,suv,new,107338
hev,pickup,new,45967
phev,cuv,new,70657
phev,car,new,119909
bev,car,used,658343
bev,cuv,used,458153
bev,suv,used,8569
bev,pickup,used,25024
cv,car,used,27986167
cv,cuv,used,28635223
bev,minivan,used,2191
cv,minivan,used,1818803
cv,pickup,used,11199384
cv,suv,used,9557299
diesel,car,used,252636
diesel,cuv,used,89344
diesel,minivan,used,523
diesel,pickup,used,2452768
diesel,suv,used,86542
fcev,car,used,4681
fcev,cuv,used,393
flex,car,used,1488824
flex,cuv,used,1516495
flex,minivan,used,809125
flex,suv,used,1863025
flex,pickup,used,3296743
hev,car,used,1267905
hev,cuv,used,461398
bev,minivan,new,7080
flex,minivan,new,61750
flex,suv,new,135183
hev,minivan,used,205209
phev,car,used,201103
phev,cuv,used,90913
phev,minivan,used,953
phev,suv,used,46958
hev,pickup,used,108066
hev,suv,used,65904
fcev,car,new,1696
